Account Name,Partnership Point of Contact,Partner Category,Partnership Development Stage,Products / Services,,Mixed Use Detail,Business Description
1059 Creative,,Website Agency,Profiling,Website Development,,Multi-family,
118 Group,,Website Agency,Profiling,Website Development,,,"118Group started as one founder’s mission to help friends and family pursue their dreams by building them great websites. Eventually, through honest work and a dedication to developing long-lasting partnerships, the company grew.

Over time, 118Group’s "
160over90,,Content,Profiling,Website Development,,Cultural; Entertainment; Stadium/arena,"160over90 is a creative agency made up of a collection of marketing specialists. They are a full-service agency with extensive experience across many specialties and they are also part of the Endeavor family, the world's largest entertainment, sports and "
1 On 1 InternetMarketing,,Website Agency,Profiling,Website Development,,,"Web Hosting, Digital Marketing, Reporting - Possible Unit Map Partner"
30 Lines,,Website Agency,Profiling,Website Development,,,"30 Lines is a full-service digital marketing company that provides online marketing and social media strategies, online reputation monitoring, search engine optimization and mobile marketing solutions.
 
RentPress:
Base Subscription: $55/month
$5/prop"
3D Apartment,,Unit Map Consumer (SYN),Inactive,Website Development,,,"Our vision at 3DAPARTMENT.com is to revolutionize the apartment search experience by providing a virtual platform that unlocks the power of remote renting, making it easier for people to find the right home, no matter where they are."
3DR Search Marketing,,Content,Profiling,Website Development,,,3DR Communications builds and manages high performance PPC campaigns for most of the major multifamily property management companies in mid-atlantic.
97 Switch,,Website Agency,Profiling,Website Development,,,
A7 Consulting,,Investor,Profiling,Website Development,,Hospitality; Master Planned,
Adept Marketing,,Website Agency,Profiling,Website Development,,Healthcare; Industrial,
Adhesive Marketing,,Website Agency,Launch,Website Development,,Multi-family,Adhesive Marketing is a full-service brand marketing agency that blends strategic thinking with creative solutions that stick.
Adhoc Studio,,Content,Profiling,Website Development,,,"We build digital products and narratives for your next urban development.

First impressions matter. We are interested in designing the way people interact with spaces and products that have yet to be realized. We’re not jack-of-all-trades, master of no"
Advantage Publications & Marketing,,Website Agency,Profiling,Website Development,,,
aenoch,,Website Agency,Profiling,Website Development,,,
Agence Six,,Content,Profiling,Website Development,,,
Agency Entourage,,Website Agency,Profiling,Website Development,,,
Agency FIFTY3,Toshi Rogers,Website Agency,Launch,Website Development,,Multi-family; Student,"Is a full-service advertising agency that will use SightMap to enhance their multifamily websites. Marketing, Web Design & Development, Graphic Design, Digital Marketing, Multimedia Production, Brand Identity, Content Strategy, & more."
Agency Off Record (AOR),,Website Agency,Profiling,Website Development,,,
Agent Image,,Website Agency,Profiling,Website Development,,,
Agile Pixel Studio,,Content; Website Agency,Profiling,Website Development,,Needs Audited,"Agile Pixel (formerly Hanee Designs) is a full-service digital agency located in New York. We support marketing teams with website design, landing page creation, search engine optimization, e-mail marketing and lead generation tools. Our clients are locat"
AKH Digital,,Content; Website Agency,Profiling,Website Development,,,
Allis,,Website Agency,Profiling,Website Development,,Hospitality,
Almonte Creative,,Website Agency,Profiling,Website Development,,,
AM Digital,,Needs Audited,Profiling,Website Development,,,
Americaneagle.com,,Website Agency,Profiling,Website Development,,,
Amplify Media,,Website Agency,Profiling,Website Development,,Affordable Housing; Data Center; Infrastructure; Needs Audited; Retail,"Since opening in 2010 Amplify Media has succeeded and grown through our focus on one principle: collaboration. We believe in working with our clients to make their ideas come to life. We believe that nothing is impossible, and that when everyone involved"
Analog Digital,,Website Agency,Profiling,Website Development,,,
Angell Marketing,,Website Agency,Profiling,Website Development,,,"Senior living isn't just what we do. It's all we do. We have 170 collective years of senior living experience. We've stayed on-site at communities‚Äîdining, listening, laughing and experiencing what senior living truly means. And every single time, we're"
Anstey Hodge Advertising Group,,Website Agency,Profiling,Website Development,,,
AOG Digital,,Website Agency,Profiling,Website Development,,,
Apartment Layouts,,Website Agency,Profiling,Website Development,,,
Apartment Life / CARES,,Needs Audited,Profiling,Website Development,,,"Apartment Life helps apartment owners care for residents by connecting them in relationships. This, in turn, helps improve the community's financial performance through online reputation, resident satisfaction, and resident retention.

Apartment Life Ha"
Apartments247,,Website Agency,Profiling,Website Development,,,"Apartments 247 builds beautiful, HD Responsive websites for individual apartment communities and corporations nationwide.

Also referred to as apartments24-7.com, this website with the dash will take you at the apartments247.com site."
Apartment SEO,Martin Canchola,Content; Website Agency,Launch,Website Development,,,"Internet Marketing firm dedicated to the multi-family real estate industry. SEO, Digital Ads, Social Media Marketing, Reputation Builder, Custom Website Design. They will use SightMap to enhance their sites."
Artbox Creative Studios,,Website Agency,Profiling,Website Development,,,"Artbox Creative Studios is a dynamic creative agency based in the Minneapolis, MN.
 
 Whether you‚Äôre a small business owner looking to improve your online presence, or a larger company in need of a complete branding overhaul, we have the expertise and r"
Art Of Strategy Consulting,,Website Agency,Profiling,Website Development,,,
Ashlar Projects,,Website Agency,Profiling,Website Development,,Condos; Multi-family,
Ashton Design,,Website Agency,Profiling,Website Development,,,
Ask4Tech Web Solutions,,Website Agency,Profiling,Website Development,,,"Web Design, Development, and Search Engine Optimization (SEO)"
AtlanticCityDirect.us,,Website Agency,Profiling,Website Development,,,
AWP Media,,Website Agency,Profiling,Website Development,,,
Bam Digital,,Website Agency,Profiling,Website Development,,,
Banana Stand Inc,,Website Agency,Profiling,Website Development,,,"Foundational Creative Services:
 
 * Tone Of Voice (TOV)
 
 * Branding + Identity Design
 
 * Copywriting"
Beacon,,Website Agency,Profiling,Website Development,,,
Beanstalk Web Solutions,,Website Agency,Profiling,Website Development,,,
Bespoke Luxury Marketing,,Website Agency,Profiling,Website Development,,,
BetterBot,,Fee Transparency; Unit Map Consumer (SYN),Active,Website Development,,,"Focus on Conversation Instead of Leads. Chatbot and tour scheduler. Answers prospect questions. Can show virtual tours and video within the chatbot.

2021 Analytics:
58% of users use bots 6pm-8am
Facilitate 26 handoffs/mo. - BetterBot focuses on conve"
Better Links Media,,Website Agency,Profiling,Website Development,,,
Beyond the Agency,,Investor,Profiling,Website Development,,,
BHFMC LLC,,Website Agency,Profiling,Website Development,,,One-man agency out of Dallas
Bicycle Creative,,Fee Transparency; Website Agency,Profiling,Website Development,,,
bigeye,,Content; Website Agency,Profiling,Website Development,,,
Bigfin,,Website Agency,Profiling,Website Development,,Healthcare; Multi-family,
Birdeye Inc,,Needs Audited,Profiling,Website Development,,,
Bitter Sweet Creative,,Content,Profiling,Website Development,,,
Biznet Digital,,Content; Website Agency,Profiling,Website Development,,,
Blinebury Design,,Website Agency,Profiling,Website Development,,,
BLKBOX,,Website Agency,Profiling,Website Development,,,"BLKBOX is a multidisciplinary creative group that crafts creative strategies, design solutions, and the most compelling content for brands and organizations of all sizes, from emerging startups to iconic institutions. With a diversely talented and innovat"
Blue Compass Interactive,,Website Agency,Profiling,Website Development,,,
Blue Matrix Media,,Content,Profiling,Website Development,,,
BlueModus,,Website Agency,Profiling,Website Development,,,
Bode Digital,,Website Agency,Profiling,Website Development,,,
Bradford Allen Realty Services,,Website Agency,Implementation,Website Development,,,
Brandcast,,Website Agency,Profiling,Website Development,,,"The Brandcast Website Cloud is a platform for designing, deploying, and managing websites of all kinds."
Brand Collective Inc,,Website Agency,Profiling,Website Development,,,"We are modern-day storytellers, telling stories through beautiful design, words and thought, immersed in culture & art."
Branding Iron,,Website Agency,Profiling,Website Development,,,"brandingiron@stantec.com
617-234-3100
Developer for some bozzuto property sites."
Brandthropology,,Website Agency,Profiling,Website Development,,,
Brave New Day,Brian Kerr,Content; Website Agency,Profiling,Website Development,,,
Brave People,,Website Agency,Profiling,Website Development,,,
Brindle Digital Marketing,Sarah Lukemire,Content; Website Agency,Launch,Website Development,,,"Digital marketing agency that will use SightMap to enhance their sites. Their services include: web design, social media marketing, SEO, branding, paid advertising, email marketing, ads, social media management, website development & copyright."
Brio Marketing and Design,Brandi Bailey,Website Agency,Profiling,Website Development,,,
B Square Web,,Website Agency,Profiling,Website Development,,,
BT Creative,,Content; Website Agency,Profiling,Website Development,,Multi-family; Student,Blanton Turner is a Seattle-based property management and development consulting firm providing multi‚Äìfamily and student housing developers and owners with real estate solutions for a new economy. We're a proven team that has been working together for y
Bucktrout Creative,,Website Agency,Profiling,Website Development,,,"Bucktrout Creative is a multi-disciplinary, design studio based in San Francisco. We craft traditional branding, design, packaging and illustration thoughtfully applying our skill and passion to create communications that are meaningful, personal and enga"
BUHV Designs,,Website Agency,Profiling,Website Development,,,"Looks like this company rebranded, the website link takes you to https://www.42connect.com now."
Bullseye Creative,,Content; Website Agency,Profiling,Website Development,,,
Burder Creative,,Website Agency,Profiling,Website Development,,,"Burder Creative is a web design and branding studio located in Tampa, Florida. Established in 2007 by Frank and Rebekah Burder, the studio is passionate about creating and advancing brands through design, strategy and technology. We offer a wide range of "
Burrit Design,,Website Agency,Profiling,Website Development,,,
Butchershop Creative Company,,Content; Website Agency,Profiling,Website Development,,,"AS OF MAY 2023, BUTCHERSHOP HAS CLOSED ITS DOORS"
Bytes,,Website Agency,Profiling,Website Development,,Education; Healthcare; Industrial; Infrastructure; Manufactured Housing; Retail,Bytes.co provides businesses throughout VT and New England with professional website design and digital marketing services. We work primarily with the WordPress platform and can build custom sites for any business or organization. We use a variety of tool
CA Marketing,,Website Agency,Profiling,Website Development,,,
Captiva Marketing,,Website Agency,Profiling,Website Development,,,
Castaway Labs,,Website Agency,Profiling,Website Development,,,
CasualSushi,,Website Agency,Profiling,Website Development,,,
Catalyst Marketing Agency,,Website Agency,Profiling,Website Development,,,"Catalyst is an award-winning, full-service marketing and advertising agency specializing in multifamily housing, student housing, senior living, and residential real estate communities. The team specializes in branding, lead generation, the latest social "
CB Design NY,,Website Agency,Profiling,Website Development,,,"Specializing in Corporate Brand and Marketing Design for clients in healthcare, lifestyle, real estate and luxury. Focus-driven with precise attention to detail, we bring fast, striking, dynamic results. We are defined by our modern, striking and stunning"
CEA Marketing Group,,Content,Profiling,Website Development,,,
Ceros,,Website Agency,Profiling,Website Development,,,
ChatterBuzz Media,,Content,Profiling,Website Development,,Multi-family; Single-Family Homes,
Chip Thompson Design,,Website Agency,Profiling,Website Development,,,
Citizen,,Website Agency,Profiling,Website Development,,Senior Living,"CITIZEN exists because we saw a need in the senior living space.

Our parent company, POD Marketing, was approached by an automation software provider to help their senior living clients implement marketing automation strategies.

As we worked with th"
CKO Digital,,Content; Website Agency,Profiling,Website Development,,,
Clarity Marketing Studio,Linda Phillips Blue,Website Agency,Active,Website Development,,,"Clarity Marketing Studio is a marketing strategy, design, and production studio dedicated to helping our clients grow their services businesses. We provide two levels of service—”Done for you” marketing subscription services and Fractional Chief Marketing"
Classic City Consulting,,Website Agency,Profiling,Website Development,,,"Full-service creative firm offering custom-tailored web solutions built for growth.
 
 Services: web development, website hosting, brand messaging, content design, wordpress, website analytics, audience analysis."
Clear pH Design,,Fee Transparency; Website Agency,Profiling,Website Development,,,
ClearSketch,,Website Agency,Profiling,Website Development,,Condos; Multi-family,"The One-Stop Marketing Department for Growth-Stage Companies
Conversion Rate Optimization
• PPC Advertising
• Website Design + Development
• Marketing Strategy
• Content Marketing
• Landing Page Design + Optimization 
• Video Production + Animation"
CleverBirds,,Content,Profiling,Website Development,,Multi-family,
CloudMellow,,Website Agency,Profiling,Website Development,,,
CLYint,,Data Integration; Website Agency,Profiling,Website Development,,Multi-family,
CMA Designs,,Website Agency,Profiling,Website Development,,,
CodingwithCarl,,Website Agency,Profiling,Website Development,,,
Cohere,,Website Agency,Profiling,Website Development,,Condos; Coworking; Healthcare; Master Planned; Multi-family; Retail,"Cohere is a creative agency committed to uniting stakeholders around shared goals in food, hospitality and real estate. We bring together projects that put people and the planet first through strategy, branding, environmental, and digital design."
COHN Marketing,,Content,Profiling,Website Development,,Master Planned; Single-Family Homes,
Colony,,Website Agency,Profiling,Website Development,,,
Comet Creative,,Website Agency,Profiling,Website Development,,,
Command & Query,,Website Agency,Profiling,Website Development,,,
Co-motion,,Website Agency,Profiling,Website Development,,,
"Connors Advertising & Design, Inc",,Website Agency,Profiling,Website Development,,,
Conor Edwards,,Website Agency,Profiling,Website Development,,,
Contrast Design Studio,,Content,Profiling,Website Development,,,Contrast Design Studios is a team of graphic designers that specialize in helping small businesses realize big visions. They offer logo and branding services as well as website design and promotional materials.
Conversion Logix,,Website Agency,Profiling,Website Development,,Multi-family; Senior Living; Student,"To provide communities with more leads, appointments and sales through digital marketing.
At Conversion Logix we answer the biggest question in digital marketing: Where are my leads coming from and which campaigns are working best?"
CO OP Brand Company,,Website Agency,Profiling,Website Development,,,
Corcoran Sunshine,,Website Agency,Profiling,Website Development,,,"*This is really a brokerage company. 

With over 30 years of experience in marketing and collective sales of $50 billion, Corcoran Sunshine Marketing Group is the recognized industry leader in the planning, design, marketing, and sale of luxury resident"
CORE Creative & Strategy,,Website Agency,Profiling,Website Development,,,
Core PHP,,Website Agency,Profiling,Website Development,,Senior Living,
Cortex Creative,,Needs Audited,Profiling,Website Development,,,
Creative Mindworks,,Website Agency,Profiling,Website Development,,Condos; Hospitality; Multi-family; Student,
Creativ Endeavor,,Website Agency,Profiling,Website Development,,,
Creative Slice,,Content; Website Agency,Profiling,Website Development,,Multi-family; Retail,"Creative Slice is an award-winning web design firm, established in 2003, that is focused on taking our clients to the next level of business development. Our client base is very diverse and ranges from international resorts to small, community-based nonpr"
Creative Soldier,,Content; Website Agency,Profiling,Website Development,,,
CreativeThemes,,Website Agency,Profiling,Website Development,,,
Criterion.B,,Website Agency,Profiling,Website Development,,,"Criterion.b is the marketing and branding agency. Anything digital (i.e. websites) should be linked to Swifty.

Swifty does offer a ""free interactive map"" for their websites but also integrates with SightMap. Working on formal partnership strategy. - MP"
Curio,,Content,Profiling,Website Development,,,
Cyber Sytes Inc,,Website Agency,Profiling,Website Development,,,
D*MNGOOD,,Website Agency,Profiling,Website Development,,,
Dapper + Associates,,Website Agency,Profiling,Website Development,,,
David Riley Associates,,Website Agency,Profiling,Website Development,,,
Davis Harrison Dion,,Website Agency,Profiling,Website Development,,,
Daylight Studio,,Website Agency,Profiling,Website Development,,,
DB Marketing,,Website Agency,Profiling,Website Development,,,
DCWireNet,,Website Agency,Profiling,Website Development,,,
Deaton Web Design,,Website Agency,Profiling,Website Development,,,
Delucchi,,Website Agency,Profiling,Website Development,,,
DeNovo,,Content; Website Agency,Profiling,Website Development,,,"We are a full-service marketing agency that starts by creating or revamping your marketing strategy, deploying custom creative solutions that help reach your target audience and then actively analyzing the results to continually improve. We call it our Co"
Denver Creative Media,,Website Agency,Profiling,Website Development,,,
Design by Fit,,Website Agency,Profiling,Website Development,,,
Design Collective,,Website Agency,Profiling,Website Development,,,
DesignEdge,,Website Agency,Profiling,Website Development,,,
Design Floor Plan,,Content; Influencer,Profiling,Website Development,,,"Room planner, area maps, floor plans, site plans - 2D & 3D"
